#{"t_start": 1650104660.8168788, "env_id": null}
r,l,t
-2090.941477,1000,2.91097
-686.890554,1000,3.985878
-1493.788113,1000,6.072607
-975.731013,1000,7.13238
-578.556574,1000,9.187986
-572.715015,1000,10.317321
-1945.265723,1000,12.480387
-1105.59175,1000,13.555839
-2084.913691,1000,15.715091
-921.701913,1000,16.790606
-1271.329387,1000,18.941146
-1250.129812,1000,20.015702
-656.256706,1000,22.208804
-1345.07621,1000,23.290378
-444.087599,1000,25.380266
-2209.462779,1000,26.443386
-1046.223482,1000,28.516678
-521.518748,1000,29.586643
-2331.58535,1000,31.627198
-603.256685,1000,32.690005
-1334.273723,1000,34.808371
-754.182989,1000,35.880767
-848.502681,1000,37.929211
-1083.243098,1000,39.000599
-1231.225387,1000,41.098903
-922.94386,1000,42.181777
-640.985193,1000,44.267519
-745.478844,1000,45.327587
-805.321644,1000,47.411871
-1383.136087,1000,48.503066
-526.198714,1000,50.625343
-786.937881,1000,51.68465
-640.476474,1000,53.767644
-949.752199,1000,54.835211
-457.209635,1000,56.932793
-826.585202,1000,58.026302
-857.566964,1000,60.150352
-487.658322,1000,61.206148
-419.527619,1000,63.324642
-650.617557,1000,64.411167
-529.556867,1000,66.541499
-837.917662,1000,67.621047
-386.114224,1000,68.706493
-1040.354016,1000,70.828336
-432.377483,1000,71.906904
-687.909983,1000,74.093078
-2189.992348,1000,75.170901
-961.694811,1000,77.312822
-2240.131974,1000,78.378372
-1213.70064,1000,80.4943
-482.457841,1000,81.586725
-462.268586,1000,83.685308
-2784.100761,1000,84.765313
-2975.907809,1000,86.885836
-1156.482584,1000,87.950122
-1195.764035,1000,90.084745
-2259.785704,1000,91.170207
-1431.484762,1000,93.294893
-1791.106985,1000,94.378359
-2396.946737,1000,96.480642
-494.177884,1000,97.568469
-644.848595,1000,99.688281
-1617.042207,1000,100.763998
-173.149247,1000,102.830086
-2798.620147,1000,103.903758
-780.153678,1000,106.019136
-588.767435,1000,107.085538
-489.177077,1000,109.188604
-993.927793,1000,110.251323
-1553.576065,1000,112.356592
-1478.564462,1000,113.414429
-655.752832,1000,115.500162
-2178.372304,1000,116.562914
-935.474635,1000,118.639482
-527.159066,1000,119.708426
-2378.508358,1000,121.805201
-431.269841,1000,122.879956
-431.027103,1000,124.987873
-1649.009587,1000,126.064536
-266.410292,1000,128.17702
-1416.487199,1000,129.254531
-1154.558233,1000,131.358033
-1039.332878,1000,132.456741
-711.941897,1000,134.57834
-155.855502,1000,135.665333
-664.828537,1000,136.759341
-670.626659,1000,138.923685
-1921.960527,1000,139.995823
-1739.304782,1000,142.048205
-2081.875793,1000,143.111
-483.589197,1000,145.187255
-2101.16776,1000,146.25862
-105.214638,1000,148.359112
-517.312472,1000,149.426765
-299.289885,1000,151.541402
-3008.594216,1000,152.612443
-500.735668,1000,154.699136
-668.896025,1000,155.765931
-430.492507,1000,157.858474
-552.1333,1000,158.918334
-1025.787123,1000,160.995284
-2713.476496,1000,162.071315
-2764.817783,1000,164.12268
-260.874875,1000,165.187926
-2026.912521,1000,167.237032
-1534.14738,1000,168.317914
-2490.390223,1000,170.409633
-934.59385,1000,171.480919
-736.909563,1000,173.575488
-156.877188,1000,174.639942
-739.092056,1000,176.69625
-583.718155,1000,177.752378
-727.037838,1000,179.844984
-972.804029,1000,180.915504
-2382.141331,1000,183.056647
-2052.597101,1000,184.144802
-930.25482,1000,186.328988
-3741.188689,1000,187.412715
-1852.333591,1000,189.555356
-2022.269721,1000,190.641902
-559.349826,1000,192.792794
-1702.691888,1000,193.871992
-3078.259728,1000,196.039968
-1196.561531,1000,197.108034
-507.010165,1000,199.237611
-882.894105,1000,200.328355
-226.543372,1000,202.436619
-2179.699699,1000,203.499928
-514.822366,1000,204.564967
-392.355635,1000,206.709115
-645.853804,1000,207.902683
-2163.737697,1000,210.105811
-320.938826,1000,211.193908
-1276.408978,1000,213.320063
-1344.722365,1000,214.400172
-193.171414,1000,216.480699
-1505.228233,1000,217.539755
-592.88574,1000,219.628052
-414.824224,1000,220.709592
-289.077228,1000,222.838935
-763.177023,1000,223.947705
-2661.350297,1000,226.069858
-2034.584276,1000,227.149251
-285.304249,1000,229.275699
-2441.188722,1000,230.346051
-424.50416,1000,232.443666
-2134.805025,1000,233.514874
-2133.239361,1000,235.601618
-3127.765417,1000,236.693763
-3545.298705,1000,238.786961
-1460.568399,1000,239.860851
-1146.695132,1000,241.949329
-1429.429673,1000,243.027827
-1361.682047,1000,245.118095
-561.656286,1000,246.206637
-2864.632666,1000,248.334472
-1535.696457,1000,249.468797
-3159.177794,1000,251.566344
-2585.213132,1000,252.628625
-3347.738898,1000,254.71979
-418.209209,1000,255.784182
-1516.661703,1000,257.873569
-2779.691331,1000,258.935808
-2122.691585,1000,261.0115
-3391.935338,1000,262.06981
-1331.852548,1000,264.19914
-1216.341492,1000,265.289631
-711.154515,1000,267.558493
-563.333294,1000,268.640621
-952.60978,1000,270.753872
-816.137831,1000,271.828324
-214.399842,1000,272.900594
-70.966499,1000,274.996551
-2409.060801,1000,276.066627
-1827.131916,1000,278.183302
-1624.765259,1000,279.270656
-295.749362,1000,281.385368
-3669.726101,1000,282.465898
-1054.675974,1000,284.6087
-3063.494995,1000,285.68083
-1021.716191,1000,287.840579
-3669.28868,1000,288.919567
-1200.705307,1000,291.028563
-1575.52974,1000,292.110916
-4020.437388,1000,294.290099
-470.912665,1000,295.369254
-2572.108868,1000,297.460295
-1948.981266,1000,298.526878
-3315.553021,1000,300.598328
-1010.240059,1000,301.676082
-2241.001022,1000,303.760118
-1059.930453,1000,304.895763
-2445.946598,1000,307.027685
-2498.80561,1000,308.100737
-939.92017,1000,310.205951
-3083.007861,1000,311.267546
-216.379766,1000,313.361642
-484.905188,1000,314.446102
-1630.146521,1000,316.650707
-181.939802,1000,317.742284
-2584.649079,1000,319.857642
-1065.691052,1000,320.928376
-982.540415,1000,323.020989
-2474.723733,1000,324.078205
-154.509822,1000,326.148687
-2682.926439,1000,327.220708
-3367.34853,1000,329.287852
-2100.630293,1000,330.355204
-1704.307978,1000,332.468442
-1778.511139,1000,333.527207
-1279.339349,1000,335.734013
-2700.657441,1000,336.796076
-3935.326429,1000,338.894131
-540.249428,1000,339.982155
-3369.2162,1000,341.060916
-2464.828716,1000,343.160108
-214.504772,1000,344.225999
-916.599644,1000,346.326609
-66.823008,1000,347.381922
-454.795283,1000,349.521985
-3344.778517,1000,350.5869
-2649.596742,1000,352.813794
-180.639795,1000,353.88832
-3518.939045,1000,356.044058
-962.571404,1000,357.122997
-1700.440444,1000,359.231048
-101.171778,1000,360.311096
-621.876371,1000,362.419883
-313.291243,1000,363.510006
-2046.811259,1000,365.62324
-306.8868,1000,366.698624
-493.10875,1000,368.788465
-174.69221,1000,369.889456
-426.851459,1000,372.006135
-500.998081,1000,373.071695
-1463.609578,1000,375.188163
-411.70917,1000,376.2663
-50.21347,1000,378.364461
-3931.619901,1000,379.430898
-522.741249,1000,381.510835
-834.207162,1000,382.582751
-2477.358597,1000,384.677314
-424.77704,1000,385.748049
-111.950804,1000,387.872165
-2042.671799,1000,388.962828
-496.902632,1000,391.056776
-1613.02326,1000,392.118999
-2076.970893,1000,394.212677
-2048.145233,1000,395.265049
-665.431828,1000,397.356734
92.99618,1000,398.435398
-3208.558934,1000,400.543773
-62.404985,1000,401.613927
-86.398974,1000,403.720207
-2585.66789,1000,404.798368
-2484.331164,1000,405.873151
-974.390551,1000,407.987667
-1755.450047,1000,409.063043
-1786.202087,1000,411.16462
-2420.063197,1000,412.236466
-858.129198,1000,414.351181
-616.780151,1000,415.492635
-2156.706772,1000,417.600335
-207.099031,1000,418.687062
-2277.507327,1000,420.815183
-1596.044795,1000,421.899748
-219.032374,1000,424.003839
-766.943909,1000,425.078489
-1670.513722,1000,427.167162
-2459.081114,1000,428.233079
-2644.58584,1000,430.311662
-240.83484,1000,431.376562
-3163.357149,1000,433.451969
-2334.683311,1000,434.526455
18.747009,1000,436.634919
-1860.990256,1000,437.714411
-174.071574,1000,439.892299
-2244.869977,1000,440.966716
-1384.816862,1000,443.07877
-1199.789234,1000,444.168971
-518.643456,1000,446.363159
-161.99075,1000,447.418898
-1263.210988,1000,449.624186
-825.428998,1000,450.694898
-1062.172012,1000,452.787935
-2410.471936,1000,453.868215
-1484.634557,1000,455.971954
-118.714676,1000,457.052214
-1119.353332,1000,459.159908
-1442.054147,1000,460.257996
-320.121353,1000,462.365284
-466.353901,1000,463.436178
-809.262038,1000,465.518919
108.71202,1000,466.578961
-812.457575,1000,468.670904
-3235.740925,1000,469.729387
-2288.143859,1000,471.798528
-1427.922045,1000,472.853893
-968.247066,1000,473.935355
-451.797258,1000,476.034068
-1692.337546,1000,477.104645
-1684.260664,1000,479.201131
-2425.978112,1000,480.266792
-1202.382916,1000,482.350064
-247.475906,1000,483.408728
-292.742895,1000,485.468707
-1361.912893,1000,486.531366
-1161.025397,1000,488.643709
-3236.859643,1000,489.70233
-142.963218,1000,491.82483
-2162.325459,1000,492.888873
15.49315,1000,494.981047
-1764.34519,1000,496.052989
-1458.860061,1000,498.139688
-1499.12044,1000,499.199607
-2919.750433,1000,501.283955
-2532.865993,1000,502.361933
-222.743249,1000,504.452764
-625.543096,1000,505.523478
-2458.829042,1000,507.667697
-1898.379164,1000,508.734786
-213.148381,1000,510.782649
-3244.231533,1000,511.84452
-458.701376,1000,513.924338
-3900.219701,1000,514.995551
-377.372331,1000,517.086932
-3598.865502,1000,518.151753
-771.039808,1000,520.24789
-311.192568,1000,521.331843
-2428.517684,1000,523.432537
-242.262094,1000,524.505719
-842.503615,1000,526.604544
-682.27909,1000,527.70143
-1283.258101,1000,529.805879
-1084.348045,1000,530.893001
-2601.927807,1000,533.030553
-611.320614,1000,534.114588
-692.045498,1000,536.215918
-2891.407053,1000,537.331322
-658.355114,1000,539.599388
-1436.936668,1000,540.66975
-398.065692,1000,541.741084
-2973.32338,1000,543.818129
154.170671,1000,544.880672
-448.427824,1000,546.978091
-544.031198,1000,548.04712
-431.887814,1000,550.123659
-239.925507,1000,551.188429
-728.93791,1000,553.301825
-975.295304,1000,554.375655
-1665.243061,1000,556.483204
70.647858,1000,557.552282
-1309.258231,1000,559.644804
-695.062111,1000,560.716629
-205.765106,1000,562.808153
-1136.159476,1000,563.872229
-208.212588,1000,565.95795
-1224.868404,1000,567.019176
-938.396531,1000,569.149443
-734.142687,1000,570.211467
-657.310786,1000,572.312591
-48.882807,1000,573.392377
-1265.114318,1000,575.504616
-191.268568,1000,576.578703
-299.322867,1000,578.708314
-3.091172,1000,579.788364
-569.342757,1000,581.884568
-2048.292685,1000,582.961568
-863.895584,1000,585.055454
-260.917598,1000,586.135196
-1096.015855,1000,588.227622
-2419.235987,1000,589.292911
-324.664304,1000,591.427615
-3687.314963,1000,592.506891
-559.400465,1000,594.606042
-458.463747,1000,595.6752
-413.079386,1000,597.776827
-314.528426,1000,598.862224
-38.733329,1000,600.933903
-1865.229045,1000,601.982943
-276.423388,1000,604.064522
-340.662046,1000,605.135806
-619.311627,1000,607.21396
-691.523862,1000,608.279258
-765.187044,1000,609.337271
-2334.116865,1000,611.522793
-1073.211693,1000,612.5953
-671.117352,1000,614.72447
-2900.574227,1000,615.825007
-2539.18018,1000,617.943817
-703.698693,1000,619.027504
-780.596721,1000,621.146021
-1741.29128,1000,622.239902
-2593.419483,1000,624.354677
-1.290874,1000,625.422578
-1457.346338,1000,627.515664
-414.36162,1000,628.580908
45.083884,1000,630.659174
-2372.091471,1000,631.72718
-2999.855349,1000,633.887674
-1156.774716,1000,635.036724
-2844.067568,1000,637.133057
-2501.070956,1000,638.212523
-2930.119651,1000,640.307519
-418.681832,1000,641.383319
-3195.672738,1000,643.490577
-2804.11629,1000,644.578156
-916.743226,1000,646.818374
-410.597943,1000,647.90859
-255.907234,1000,650.024552
-113.453084,1000,651.119144
-3122.254701,1000,653.256471
-393.234669,1000,654.3529
61.290748,1000,656.455649
-1219.507405,1000,657.522763
-879.776767,1000,659.602952
-1989.957318,1000,660.686849
-1892.238313,1000,662.785132
-991.651458,1000,663.876817
-2719.963597,1000,665.984512
-1942.680397,1000,667.078745
-325.69321,1000,669.266814
-708.609066,1000,670.344317
-689.989331,1000,672.444876
-268.14206,1000,673.517891
-289.027647,1000,675.591938
-2203.019863,1000,676.661725
-1937.329716,1000,677.724477
-2865.646339,1000,679.830714
-512.847485,1000,680.919832
-2195.476477,1000,683.022765
-3491.338178,1000,684.108024
-1314.692438,1000,686.221306
-969.4694,1000,687.304024
-203.179166,1000,689.40285
-711.279617,1000,690.48286
-2132.943936,1000,692.597364
-778.857181,1000,693.667815
-1415.713788,1000,695.768815
-80.909513,1000,696.838849
-2282.006767,1000,698.962489
-2411.005604,1000,700.057951
-2953.42742,1000,702.165288
-3825.880045,1000,703.245836
-2979.179433,1000,705.370642
-634.328853,1000,706.457046
-277.188091,1000,708.582504
-250.342878,1000,709.660283
-354.527449,1000,711.756251
167.628191,1000,712.815436
-213.266142,1000,714.956192
-2173.657248,1000,716.034417
-63.375456,1000,718.109444
-62.487135,1000,719.302792
-428.77566,1000,721.481673
183.358036,1000,722.553215
-401.821769,1000,724.654926
235.68095,1000,725.734198
-996.792121,1000,727.853393
41.682166,1000,728.953643
-1677.404546,1000,731.103771
-168.683441,1000,732.184264
-788.989131,1000,734.278818
-420.174262,1000,735.350617
-969.213933,1000,737.423117
-96.080948,1000,738.518169
-1589.834511,1000,740.619816
-2909.94672,1000,741.699028
-1121.0153,1000,743.836999
-189.929774,1000,744.923055
-150.053382,1000,746.01132
152.4993,1000,748.141615
50.830234,1000,749.219273
-845.356056,1000,751.34575
-397.618269,1000,752.426866
23.152905,1000,754.68242
-82.095225,1000,755.779698
-780.739518,1000,757.895094
-52.334194,1000,758.974867
-1756.750474,1000,761.089222
-115.555987,1000,762.173405
-767.222587,1000,764.25824
-951.937055,1000,765.324216
-0.806581,1000,767.515045
-1745.656889,1000,768.60162
128.129098,1000,770.74026
-404.665635,1000,771.831495
-292.230192,1000,773.935675
-55.162639,1000,775.006686
30.385622,1000,777.11321
-320.801567,1000,778.207247
-48.582135,1000,780.311823
-983.102999,1000,781.366527
334.452787,1000,783.455914
-343.470557,1000,784.546648
-918.814389,1000,786.659735
30.094608,1000,787.744293
108.754444,1000,789.848569
182.485592,1000,790.938902
287.929339,1000,793.037771
6.498864,1000,794.122026
190.032617,1000,796.21921
224.667376,1000,797.278296
-16.80796,1000,799.372276
-0.279213,1000,800.44628
-111.312849,1000,802.538698
10.733182,1000,803.626339
-162.774705,1000,805.712299
-7.42824,1000,806.770581
-1362.368277,1000,808.877009
16.615334,1000,809.949691
-846.155728,1000,810.999433
37.154932,1000,813.20262
-322.338726,1000,814.3067
152.51759,1000,816.373574
-427.531813,1000,817.437544
-125.363323,1000,819.564727
-271.400873,1000,820.650094
-147.907656,1000,822.779423
230.571673,1000,823.854051
60.901115,1000,826.01867
105.043778,1000,827.11413
64.000671,1000,829.215168
-2060.247761,1000,830.281256
-1192.237351,1000,832.394552
135.126006,1000,833.458473
8.942669,1000,835.594228
-1038.136361,1000,836.692841
168.526331,1000,838.791661
-1082.78148,1000,839.88273
192.938149,1000,841.994765
-28.347088,1000,843.047954
275.178777,1000,845.20859
169.062343,1000,846.303077
272.789246,1000,848.411512
-239.184247,1000,849.519068
49.040526,1000,851.665621
-425.222129,1000,852.740503
-54.250926,1000,854.821141
-916.804274,1000,855.891063
-1166.645946,1000,857.966734
-847.378466,1000,859.031896
214.72573,1000,861.107266
-638.719546,1000,862.169103
-336.620013,1000,864.296135
278.156788,1000,865.385021
-1388.45291,1000,867.476525
360.290906,1000,868.543822
-1154.651989,1000,870.640703
211.363062,1000,871.720052
123.115502,1000,873.832823
191.855756,1000,874.915368
75.014776,1000,877.023011
-844.455924,1000,878.097403
-127.674319,1000,879.173689
-548.082116,1000,881.266311
497.722189,1000,882.3348
-839.888966,1000,884.472588
183.335959,1000,885.560961
-100.934414,1000,887.67175
-2862.043285,1000,888.821343
-56.507463,1000,890.954965
-3335.879312,1000,892.041822
-683.112419,1000,894.148658
-235.874375,1000,895.229097
364.069433,1000,897.344165
-168.478338,1000,898.411321
-1555.898053,1000,900.494766
202.245966,1000,901.566696
479.670673,1000,903.675288
-1809.41951,1000,904.752347
-1104.292792,1000,906.834289
-247.230917,1000,907.909439
209.934755,1000,909.988256
109.098042,1000,911.047762
27.286307,1000,913.099702
473.155135,1000,914.160794
182.34094,1000,916.250179
226.839369,1000,917.319899
85.737803,1000,919.422422
-81.977855,1000,920.516965
401.165782,1000,922.633104
478.91067,1000,923.713901
232.188609,1000,925.834032
301.192782,1000,926.916361
-86.155437,1000,929.034375
-511.691003,1000,930.098794
-201.200689,1000,932.188874
-49.035773,1000,933.373898
107.364281,1000,935.51359
110.780797,1000,936.597236
80.387444,1000,938.707528
349.87971,1000,939.775701
-1555.959505,1000,941.861724
379.192471,1000,942.929238
332.070511,1000,945.052368
494.058472,1000,946.11522
45.393805,1000,947.199457
423.515644,1000,949.503711
559.171356,1000,950.636807
185.36877,1000,952.721916
528.718976,1000,953.786622
158.133903,1000,955.844481
410.661491,1000,956.902381
-702.167974,1000,958.994473
377.061008,1000,960.06512
129.347194,1000,962.135277
-319.640008,1000,963.189308
168.618283,1000,965.272008
-1403.44687,1000,966.341094
163.697065,1000,968.487698
622.865272,1000,969.563785
427.70576,1000,971.669048
302.186627,1000,972.742022
-754.310676,1000,974.865802
94.038045,1000,975.940193
-1162.402272,1000,978.088303
-335.213058,1000,979.16176
462.21065,1000,981.233688
478.373167,1000,982.30076
439.155811,1000,984.399578
285.429981,1000,985.458136
68.868323,1000,987.515789
609.021852,1000,988.576864
622.62488,1000,990.665771
272.481077,1000,991.763052
186.819542,1000,993.87885
414.664005,1000,994.94918
477.385599,1000,997.056505
