#{"t_start": 1650095973.33039, "env_id": null}
r,l,t
454.931297,1000,2.670887
-1133.613569,1000,7.384524
-1845.64808,1000,12.050425
-1072.992647,1000,16.832754
-1192.78133,1000,21.538507
-1357.209011,1000,26.291083
-1322.555339,1000,31.10329
-1242.683933,1000,35.830056
-1059.107849,1000,40.454703
-1191.470288,1000,45.117795
-1117.608352,1000,49.744639
-1135.896569,1000,54.460098
-1125.374495,1000,59.116736
-1276.595085,1000,63.769082
-2045.422052,1000,68.44782
-2204.303293,1000,73.135916
-1252.303101,1000,77.816253
-2365.385748,1000,82.464172
-2487.897786,1000,87.140843
-4255.5919,1000,91.82531
-4708.232223,1000,96.488547
-2126.541218,1000,101.179562
-1184.13627,1000,105.851573
-2032.736292,1000,110.514046
-1245.121114,1000,115.206781
-1947.743162,1000,120.087626
-2262.132035,1000,124.876057
-2073.354544,1000,129.544068
-1104.966058,1000,134.211519
-2390.465208,1000,138.949767
-1654.131453,1000,143.680931
-2085.706484,1000,148.369049
-1999.379077,1000,153.038457
-1269.494482,1000,157.65848
-1183.516394,1000,162.336278
-1286.859242,1000,167.018001
-1616.974161,1000,171.638648
-2056.252035,1000,176.293693
-1257.810267,1000,180.982457
-966.988547,1000,185.716646
-1176.272864,1000,190.34463
-2153.959487,1000,194.979416
-1409.797649,1000,199.654607
-1448.946406,1000,204.319518
-2413.417588,1000,208.979966
-1471.172406,1000,213.652414
-1449.550144,1000,218.328221
-1447.343158,1000,223.058248
-1444.447531,1000,227.756919
-1644.222768,1000,232.415182
-1150.161329,1000,237.147187
-1078.914004,1000,241.833208
-817.575091,1000,246.607494
-689.147313,1000,251.27385
-611.325465,1000,255.986666
-456.935727,1000,260.704233
-624.884089,1000,265.492106
-405.814037,1000,270.263401
-501.235587,1000,275.041004
-400.619167,1000,279.751837
-683.620992,1000,284.471921
-172.598315,1000,289.286822
40.250633,1000,293.919741
-618.272223,1000,298.561221
-483.15565,1000,303.241795
-636.605872,1000,307.937793
-227.483714,1000,312.542094
-242.533069,1000,317.200927
-175.570365,1000,321.987197
-437.2479,1000,326.656658
-498.817333,1000,331.376199
189.332152,1000,336.055948
-555.008326,1000,340.720508
353.073766,1000,345.402774
165.555326,1000,350.05737
81.717183,1000,354.766174
32.635078,1000,359.455993
214.116051,1000,364.118928
350.475455,1000,368.762635
-506.002444,1000,373.413896
218.519296,1000,378.062373
181.26989,1000,382.84281
183.569117,1000,387.653102
88.776218,1000,392.317653
307.276428,1000,397.060357
-845.681491,1000,401.854556
-167.52448,1000,406.694377
368.302415,1000,411.3177
450.546937,1000,416.013758
240.488124,1000,420.746528
-109.398145,1000,425.450019
272.865997,1000,430.116488
211.917882,1000,434.831602
416.812584,1000,439.534772
478.494497,1000,444.20607
557.368805,1000,448.905781
335.156661,1000,453.727433
320.004444,1000,458.46195
-321.053499,1000,463.149251
598.831479,1000,467.791625
520.662361,1000,472.497004
-92.278252,1000,477.198074
449.020008,1000,481.910882
241.651696,1000,486.626888
422.698288,1000,491.319915
381.851582,1000,496.062747
511.820114,1000,500.772102
261.230158,1000,505.5487
643.237033,1000,510.283868
706.021907,1000,515.036478
442.700379,1000,519.850994
583.580854,1000,524.57182
295.403287,1000,529.256735
559.088586,1000,533.895015
638.540455,1000,538.618952
384.525171,1000,543.327609
465.674722,1000,548.058738
665.703851,1000,552.738736
660.986982,1000,557.353972
506.624633,1000,562.084803
264.808148,1000,566.805747
511.672961,1000,571.547242
523.009629,1000,576.272941
744.113261,1000,581.002811
642.863537,1000,585.717693
579.887071,1000,590.473702
352.62911,1000,595.228836
16.715227,1000,599.90025
705.633513,1000,604.648406
661.465878,1000,609.465198
572.800443,1000,614.145834
246.714303,1000,618.960711
686.177208,1000,623.743919
61.424661,1000,628.449147
304.264441,1000,633.321531
753.458172,1000,638.101942
749.436184,1000,642.813568
636.398208,1000,647.532181
124.552883,1000,652.205658
496.357253,1000,656.915676
683.712549,1000,661.740258
406.294053,1000,666.408715
694.658306,1000,671.107477
755.85945,1000,675.807946
49.354586,1000,680.509687
-1279.933264,1000,685.381728
377.212516,1000,690.082842
791.972237,1000,694.873891
459.779304,1000,699.566661
719.105743,1000,704.270017
683.0108,1000,709.00653
717.451391,1000,713.775959
722.332664,1000,718.418509
-476.704932,1000,723.109335
472.104085,1000,727.768128
774.173341,1000,732.481385
791.157485,1000,737.161817
595.965162,1000,741.891562
666.302378,1000,746.644938
147.006873,1000,751.319942
140.648176,1000,756.038717
720.937839,1000,760.668842
797.849685,1000,765.311898
256.024386,1000,770.065743
659.086292,1000,774.811612
705.956375,1000,779.562162
625.085927,1000,784.219712
655.329962,1000,788.972619
602.41701,1000,793.696277
657.893212,1000,798.395048
716.325532,1000,803.134869
679.861331,1000,807.777884
519.493238,1000,812.55256
730.877504,1000,817.206933
399.790593,1000,821.890508
777.864515,1000,826.632082
738.844313,1000,831.406247
30.114141,1000,836.130281
314.998826,1000,840.823247
636.53601,1000,845.590075
798.770113,1000,850.349892
608.179451,1000,855.009286
827.019303,1000,859.729568
512.221919,1000,864.404754
331.631518,1000,869.103972
656.472642,1000,873.907986
468.891346,1000,878.646611
560.044278,1000,883.325346
465.640781,1000,888.156772
693.17935,1000,892.836564
161.506004,1000,897.582015
673.012643,1000,902.28731
471.541177,1000,906.946133
763.762711,1000,911.659321
-74.109966,1000,916.384628
639.684011,1000,921.151205
781.494147,1000,925.875548
741.106442,1000,930.610205
666.041668,1000,935.286917
-73.585011,1000,940.044162
270.44956,1000,944.741014
606.561758,1000,949.45209
785.279854,1000,954.182367
548.924688,1000,958.890618
94.913077,1000,963.531862
558.014854,1000,968.22883
715.767396,1000,973.026377
557.353866,1000,977.721756
473.47801,1000,982.615188
375.649491,1000,987.308856
492.822933,1000,992.007924
591.820008,1000,996.736745
784.295121,1000,1001.514283
743.909581,1000,1006.05378
682.476447,1000,1010.703233
650.038338,1000,1015.39648
584.158578,1000,1020.141264
619.238312,1000,1024.855892
662.913578,1000,1029.63588
646.67626,1000,1034.417914
517.70081,1000,1039.121474
714.566671,1000,1043.77999
581.841927,1000,1048.524949
623.661943,1000,1053.210719
732.370782,1000,1057.888053
702.696458,1000,1062.662056
733.021669,1000,1067.3664
725.011218,1000,1072.054472
348.864563,1000,1076.77362
778.10193,1000,1081.476519
564.609225,1000,1086.169723
701.706884,1000,1090.767812
239.17426,1000,1095.451796
772.489133,1000,1100.13352
790.175108,1000,1104.899165
720.020244,1000,1109.610254
590.176979,1000,1114.25658
656.821352,1000,1119.007818
792.639408,1000,1123.669816
771.129548,1000,1128.450003
729.038512,1000,1133.155128
636.609612,1000,1137.835746
808.649097,1000,1142.500338
719.583329,1000,1147.221004
778.57586,1000,1151.913079
599.265927,1000,1156.684556
30.84906,1000,1161.377802
559.475129,1000,1166.061144
475.583919,1000,1170.925944
425.869413,1000,1175.637807
438.360917,1000,1180.360463
654.626954,1000,1185.022082
509.561048,1000,1189.705627
659.65428,1000,1194.454082
254.460077,1000,1199.117604
739.238462,1000,1203.810982
832.026964,1000,1208.542616
672.619583,1000,1213.258315
804.326406,1000,1217.962288
782.042044,1000,1222.688958
808.979583,1000,1227.411763
