#{"t_start": 1649925299.02464, "env_id": null}
r,l,t
-2171.804038,1000,2.90762
-724.235076,1000,3.960208
-639.676552,1000,6.087025
-702.198235,1000,7.140958
-1034.342972,1000,9.208611
-1520.958009,1000,10.317548
-1726.451145,1000,12.412586
-1860.298263,1000,13.446567
-1580.914981,1000,15.511207
-1403.985974,1000,16.550884
-2108.850121,1000,18.664458
-1996.416683,1000,19.699034
-1223.508992,1000,21.890161
-1467.747736,1000,22.919575
-2369.410785,1000,24.97248
-458.780552,1000,26.010735
-1184.310646,1000,28.07721
-1063.723489,1000,29.125197
-690.86397,1000,31.305076
-1660.410866,1000,32.351241
-1497.799667,1000,34.451121
-693.698967,1000,35.501057
-1044.15466,1000,37.581017
-674.139047,1000,38.630319
-910.236353,1000,40.742686
-1217.275922,1000,41.79522
-966.290924,1000,44.039966
-1742.986509,1000,45.080667
-1382.613561,1000,47.145122
-1158.623236,1000,48.183046
-830.506827,1000,50.252126
-733.436038,1000,51.287153
-1243.314612,1000,53.4458
-1118.641825,1000,54.481879
-1122.996045,1000,56.541905
-876.951123,1000,57.578646
-860.361389,1000,59.625484
-555.756614,1000,60.659059
-2066.117674,1000,62.727949
-2130.800992,1000,63.783872
-525.349309,1000,65.863401
-694.935079,1000,66.910971
-1669.484016,1000,67.957575
-500.389121,1000,70.064724
-1412.386224,1000,71.120307
-673.118763,1000,73.174205
-1953.791119,1000,74.207386
-851.635236,1000,76.417295
-863.749371,1000,77.467327
-1086.881753,1000,79.528317
-1607.552961,1000,80.579666
-877.024116,1000,82.644126
-1873.227835,1000,83.693302
-469.019775,1000,85.906217
-1486.783781,1000,86.957769
-625.353602,1000,89.064348
-560.709144,1000,90.101731
-1067.477616,1000,92.153304
-1482.793535,1000,93.189111
-1709.7819,1000,95.272698
-799.988848,1000,96.311025
-868.001363,1000,98.42901
-611.410997,1000,99.486092
-523.738533,1000,101.585832
-592.591896,1000,102.638947
-629.387612,1000,104.741741
-598.730508,1000,105.796491
-512.475435,1000,107.89392
-502.369268,1000,108.947482
-1159.613377,1000,111.023892
-1202.670724,1000,112.078633
-925.61424,1000,114.160267
-540.681599,1000,115.216184
-1047.473436,1000,117.342413
-1302.615199,1000,118.381814
-504.356013,1000,120.454055
