#{"t_start": 1649822825.1197343, "env_id": null}
r,l,t
-1548.080727,1000,2.912637
-909.646697,1000,3.969173
-543.173059,1000,6.076219
-1655.074583,1000,7.132517
-1428.401605,1000,9.219148
-730.756606,1000,10.343955
-1779.942413,1000,12.434796
-1768.33414,1000,13.490388
-2327.241545,1000,15.588976
-2293.038313,1000,16.64606
-1512.122034,1000,18.75387
-1566.517902,1000,19.813069
-1357.483191,1000,21.915029
-498.181048,1000,22.975569
-1169.58578,1000,25.082928
-2359.878965,1000,26.147802
-1241.93996,1000,28.265538
-1188.547934,1000,29.314667
-3093.818774,1000,31.389143
-1496.164318,1000,32.435808
-760.333099,1000,34.525149
-804.744166,1000,35.582673
-1453.714345,1000,37.71204
-2636.779857,1000,38.78
-514.509846,1000,40.869931
-855.241819,1000,41.921887
-478.714649,1000,43.995004
-1704.507235,1000,45.038494
-533.528409,1000,47.107319
-979.88364,1000,48.152066
-1543.99257,1000,50.252476
-1868.078155,1000,51.296024
-553.141825,1000,53.360522
-607.20588,1000,54.407155
-484.647513,1000,56.636177
-1860.896251,1000,57.677871
-2020.080091,1000,59.893122
-3133.96231,1000,60.935285
-1185.825664,1000,63.156636
-1431.368575,1000,64.202115
-668.026969,1000,66.378407
-1814.884008,1000,67.420298
-1715.148024,1000,68.46429
-1748.209516,1000,70.639592
-2154.518325,1000,71.682314
-1522.70073,1000,73.899981
-2304.314675,1000,74.940286
-552.104965,1000,77.151506
-2203.255667,1000,78.195201
-1238.900187,1000,80.403732
-503.052016,1000,81.444944
-944.300115,1000,83.650195
-995.468416,1000,84.693595
-395.005018,1000,86.764246
-643.926666,1000,87.815241
-2356.437151,1000,89.911395
-1495.96362,1000,90.965044
-440.665166,1000,93.042617
-1228.73498,1000,94.095444
-1195.901747,1000,96.19215
-898.601649,1000,97.258288
-2046.515424,1000,99.366091
-2986.980896,1000,100.431467
-1322.955628,1000,102.534993
-786.704013,1000,103.598901
-465.988128,1000,105.699936
-2955.055167,1000,106.765334
-480.745798,1000,108.853927
-3744.577013,1000,109.904832
-2106.401494,1000,111.999322
-1815.959949,1000,113.054084
-1346.28204,1000,115.161306
-750.654701,1000,116.210078
-755.415183,1000,118.303001
-1401.182083,1000,119.351354
-1434.418537,1000,121.441678
-2247.246447,1000,122.492002
-313.005998,1000,124.567063
-1508.90108,1000,125.620043
-683.100245,1000,127.696357
-735.058931,1000,128.749038
-1340.139403,1000,130.845057
-1915.995733,1000,131.89605
-1389.471583,1000,133.976212
-2231.046095,1000,135.033036
-2709.141079,1000,136.092784
-1170.47157,1000,138.170145
-1379.215128,1000,139.220949
-537.652968,1000,141.288683
-341.178794,1000,142.343148
-1130.164674,1000,144.419973
-256.367754,1000,145.471617
-599.599737,1000,147.54651
-1573.620756,1000,148.596212
-268.758602,1000,150.694877
-2972.684174,1000,151.748207
-2051.31689,1000,153.819314
-1386.071116,1000,154.871093
-983.831289,1000,156.949933
-1222.981669,1000,158.003865
-3222.001126,1000,160.085992
-382.08468,1000,161.13844
-4023.504772,1000,163.21845
-3139.755123,1000,164.264903
-3008.404275,1000,166.337313
-2081.00444,1000,167.384071
-424.600525,1000,169.454372
-2548.127599,1000,170.502273
-631.02515,1000,172.698627
-2592.222979,1000,173.767815
-1435.272868,1000,175.992195
-776.420613,1000,177.035352
-1320.033617,1000,179.102783
-2224.090383,1000,180.148461
-1449.385067,1000,182.23126
-635.679071,1000,183.279842
-476.427445,1000,185.350987
-319.150921,1000,186.397744
-766.044038,1000,188.460973
-1343.191275,1000,189.508238
-1210.49756,1000,191.580636
-2145.706709,1000,192.622239
-1507.408176,1000,194.690318
-501.993662,1000,195.739215
-1231.086804,1000,197.814043
-1045.699636,1000,198.87027
-209.73413,1000,200.939906
-2496.596756,1000,201.996479
-852.711719,1000,203.044749
-3168.770948,1000,205.124699
-608.555751,1000,206.177203
-2291.022094,1000,208.254139
-3703.391378,1000,209.306386
-3409.226865,1000,211.380406
-743.241728,1000,212.426005
-1221.49048,1000,214.487717
-2943.532909,1000,215.533344
-2564.936863,1000,217.604218
-693.488431,1000,218.651419
-290.632117,1000,220.731982
-2334.112107,1000,221.785413
-692.824487,1000,223.853551
-834.487052,1000,224.902991
-384.428096,1000,226.979199
-1627.597535,1000,228.030314
32.36247,1000,230.137937
-1163.138281,1000,231.190961
-793.575362,1000,233.263732
-666.206434,1000,234.3104
-693.854656,1000,236.378958
-3387.13376,1000,237.426662
-804.478754,1000,239.542138
-379.615806,1000,240.607246
-2556.50295,1000,242.708981
-2471.417514,1000,243.771881
-622.732951,1000,245.874992
-1759.614292,1000,246.938261
-2343.845737,1000,249.054504
-342.229162,1000,250.117434
-765.687102,1000,252.229695
-569.793198,1000,253.288094
-619.546568,1000,255.379547
-573.340163,1000,256.438484
-2624.561539,1000,258.528769
-3032.88859,1000,259.589941
-550.547188,1000,261.686179
-2396.348357,1000,262.74186
-3200.549976,1000,264.83466
-472.333937,1000,265.892581
-3699.416748,1000,267.987568
-1246.584174,1000,269.048422
-2883.084752,1000,270.108297
-3081.935185,1000,272.204062
-1720.641293,1000,273.248674
-1613.113614,1000,275.465425
-1750.379896,1000,276.503539
-3220.35013,1000,278.708041
-3362.885542,1000,279.747287
-223.277618,1000,281.81038
-3291.207334,1000,282.848333
-3209.165188,1000,284.912615
-2234.540892,1000,285.949566
-3240.537979,1000,288.156651
-2338.842978,1000,289.195547
-1522.75806,1000,291.491808
-2118.868526,1000,292.650733
-772.890364,1000,294.75789
-498.269954,1000,295.81795
-178.235073,1000,297.920561
-611.24253,1000,298.985187
-2000.550206,1000,301.09161
-2786.465636,1000,302.151828
-646.735017,1000,304.239358
-629.693119,1000,305.286779
-3403.080138,1000,307.416953
-210.186212,1000,308.467818
-451.806785,1000,310.54924
-291.32888,1000,311.611313
-215.561589,1000,313.701713
-3403.806931,1000,314.748619
-1034.438114,1000,316.795333
-510.720858,1000,317.840157
-1379.618796,1000,319.91623
-1162.366183,1000,320.96519
-900.187853,1000,323.047265
-593.101522,1000,324.107792
-939.578214,1000,326.229033
-1059.429254,1000,327.286853
-2326.356686,1000,329.384823
-1135.890933,1000,330.431959
-737.460931,1000,332.502903
-158.907985,1000,333.55075
-167.47454,1000,335.674019
-1015.919077,1000,336.743111
-1410.089497,1000,337.81196
-418.340779,1000,339.932548
-172.198371,1000,340.985534
-755.256756,1000,343.215696
-367.374317,1000,344.26974
-466.456876,1000,346.414943
-927.118431,1000,347.482754
-777.42941,1000,349.580316
-3220.422658,1000,350.647368
-2029.930244,1000,352.754217
-649.516093,1000,353.817693
-107.048433,1000,355.953462
-2562.916422,1000,357.005948
-2560.256892,1000,359.084901
-2306.725312,1000,360.136086
-1377.94994,1000,362.22097
-1323.869193,1000,363.283407
-2642.863431,1000,365.365677
-3387.092634,1000,366.41844
-1877.294155,1000,368.499116
-1379.091898,1000,369.551509
-3294.787948,1000,371.641353
-200.93539,1000,372.692769
-2834.958125,1000,374.768055
