#{"t_start": 1650095135.697867, "env_id": null}
r,l,t
-1666.672831,1000,2.964531
-900.075213,1000,4.031434
-843.468982,1000,6.148512
-1066.570833,1000,7.220346
-896.948831,1000,9.329492
-860.788545,1000,10.475868
-1356.044064,1000,12.580993
-1582.164489,1000,13.638964
-702.585255,1000,15.730344
-3106.706626,1000,16.788987
-532.243612,1000,18.899098
-2114.332818,1000,19.972643
-1971.200417,1000,22.068705
-655.741009,1000,23.137117
-1739.463776,1000,25.234694
-1769.996747,1000,26.291142
-872.464113,1000,28.361692
-953.296043,1000,29.422909
-1836.812189,1000,31.522006
-1316.78034,1000,32.588542
-1352.20419,1000,34.674232
-1725.428502,1000,35.742839
-642.722337,1000,37.82596
-859.810852,1000,38.890892
-364.760391,1000,40.987539
-758.901994,1000,42.046831
-1313.855437,1000,44.14896
-802.677218,1000,45.215017
-493.154935,1000,47.319031
-545.630018,1000,48.402916
-406.049791,1000,50.507328
-1211.456513,1000,51.570027
-711.027295,1000,53.657408
-3124.405795,1000,54.71862
-733.801558,1000,56.824015
-2482.240467,1000,57.906858
-531.253659,1000,60.006787
-865.84247,1000,61.190123
-516.394443,1000,63.474118
-1109.156555,1000,64.552472
-2663.717223,1000,66.662561
-646.890899,1000,67.743998
-2138.452231,1000,68.81924
-1990.287417,1000,70.956215
-1467.679074,1000,72.015155
-779.036991,1000,74.164469
-532.958351,1000,75.235601
-495.699598,1000,77.324489
-1704.455729,1000,78.385231
-1904.566658,1000,80.455398
-1596.50082,1000,81.518239
-999.981257,1000,83.595439
-610.176249,1000,84.666131
-1469.465681,1000,86.748271
-852.491061,1000,87.815801
-2836.011765,1000,89.904428
-2711.024749,1000,90.973114
-441.399575,1000,93.068791
-1463.83379,1000,94.138355
-1569.61532,1000,96.313369
-1676.911932,1000,97.383565
-798.009977,1000,99.483069
-3034.208429,1000,100.554471
-1575.13918,1000,102.698176
-1144.585311,1000,103.831019
-641.868184,1000,105.955178
-2822.192976,1000,107.021844
-702.853414,1000,109.192555
-1059.297969,1000,110.393009
-2683.020148,1000,112.548599
-1618.549753,1000,113.630069
-3511.17815,1000,115.741054
-1510.710484,1000,116.817643
-2182.060549,1000,118.934302
-1244.427819,1000,119.995863
-630.253159,1000,122.111491
-614.444811,1000,123.19482
-521.206131,1000,125.322827
-1862.3028,1000,126.398953
-1997.137064,1000,128.518355
-880.280208,1000,129.576835
-1650.259524,1000,131.657412
-2960.102414,1000,132.75336
-554.660213,1000,134.880366
-4291.420391,1000,135.940777
-1458.66394,1000,137.0012
-843.301714,1000,139.112978
-1633.116488,1000,140.184916
-1871.374052,1000,142.303022
-1737.224085,1000,143.38657
-313.086413,1000,145.514212
-2266.446764,1000,146.588813
-3230.064931,1000,148.663837
-2646.004671,1000,149.717252
-762.154447,1000,151.790013
-1594.969773,1000,152.850779
-693.217684,1000,154.927082
-1109.648197,1000,155.994764
-1119.282233,1000,158.094244
-1248.93359,1000,159.16127
-1532.468551,1000,161.32259
-696.450487,1000,162.379427
-2204.705527,1000,164.472304
-638.756787,1000,165.55009
-738.895419,1000,167.648126
-1401.859976,1000,168.723716
-740.755772,1000,170.820116
-1148.725912,1000,171.877579
-1431.409255,1000,173.991795
-1414.100906,1000,175.07414
-459.017937,1000,177.220608
-1868.779988,1000,178.293773
-777.915551,1000,180.376226
-1495.712111,1000,181.451548
-1015.434371,1000,183.532724
-728.768338,1000,184.59156
-1018.486411,1000,186.737754
-625.437084,1000,187.794447
-999.552963,1000,189.863225
-578.918871,1000,190.933933
-1476.930688,1000,193.026462
-1213.339124,1000,194.090981
-925.301283,1000,196.181391
-1107.164944,1000,197.242696
-1437.906274,1000,199.310011
-447.362693,1000,200.368427
-2550.57857,1000,202.479896
-399.863992,1000,203.550457
-673.538745,1000,204.628381
-429.500366,1000,206.713539
-597.387849,1000,207.769395
-1111.553689,1000,209.866304
-2045.603145,1000,210.950228
-1437.578548,1000,213.049156
-489.81462,1000,214.095284
-2205.359716,1000,216.219766
-458.342961,1000,217.301331
-2112.557918,1000,219.40901
-854.626882,1000,220.463334
-657.227081,1000,222.600424
-823.923231,1000,223.658584
-2180.298268,1000,225.749415
-485.745644,1000,226.821083
-587.630325,1000,228.955567
-537.927841,1000,230.013047
-740.05156,1000,232.089715
-1464.83662,1000,233.171165
-521.375677,1000,235.419227
-1274.557473,1000,236.510047
-577.843088,1000,238.606961
-1149.517999,1000,239.684928
-1002.150203,1000,241.809049
-631.70416,1000,242.877878
-585.134727,1000,244.964679
-1279.193548,1000,246.019715
-739.934298,1000,248.10754
-1040.657601,1000,249.189037
-561.442795,1000,251.299296
-1078.589341,1000,252.367057
-969.358303,1000,254.468279
-480.83463,1000,255.526322
-552.592564,1000,257.591123
-1116.253212,1000,258.655641
-1921.345947,1000,260.760957
-1012.211375,1000,261.830642
-497.37809,1000,263.927944
-1874.818661,1000,265.010572
-900.439895,1000,267.100425
-293.3492,1000,268.163202
-613.945516,1000,270.246948
-394.694197,1000,271.337407
-2053.377652,1000,272.398952
-434.189167,1000,274.486532
-1236.771542,1000,275.536847
-185.266685,1000,277.588396
-1682.780084,1000,278.656818
-671.065558,1000,280.771694
-1353.949744,1000,281.833228
-1706.41631,1000,284.031353
-349.299897,1000,285.126348
-2046.829551,1000,287.242148
-1299.019084,1000,288.32489
-2922.19692,1000,290.426837
-223.337163,1000,291.485893
-1011.654321,1000,293.579098
-519.088925,1000,294.643551
-2281.147326,1000,296.730852
-1574.666034,1000,297.806812
-1999.56583,1000,299.910482
-2305.465114,1000,300.992199
-1313.946949,1000,303.149045
-1332.357897,1000,304.228571
-708.1323,1000,306.330412
-1641.551111,1000,307.40654
-2196.942947,1000,309.498959
-892.073822,1000,310.574231
-1956.382889,1000,312.667687
-1626.123746,1000,313.745415
-292.414948,1000,315.842984
-2350.623946,1000,316.921767
-1742.133884,1000,319.118587
-1023.260698,1000,320.205194
-2095.538913,1000,322.291537
-2065.827468,1000,323.372442
-354.791007,1000,325.488042
-793.257905,1000,326.565086
-2443.167793,1000,328.67002
-832.245954,1000,329.745184
-685.754977,1000,331.862867
-543.101994,1000,332.952895
-1003.144204,1000,335.057034
-276.393621,1000,336.125998
-1057.240313,1000,338.253839
-847.798381,1000,339.335415
-1072.903381,1000,340.407302
-1110.768393,1000,342.52774
-279.555701,1000,343.595919
-2198.746086,1000,345.722207
-442.3738,1000,346.799809
-2691.749013,1000,348.906519
-390.768195,1000,349.97437
-2185.680579,1000,352.196923
-850.344323,1000,353.265238
-620.831938,1000,355.377154
-551.018531,1000,356.443625
-285.008706,1000,358.528988
-1768.20445,1000,359.596547
-2215.806871,1000,361.67892
-1434.558588,1000,362.742811
-686.468886,1000,364.814005
-1102.105947,1000,365.882133
-513.185713,1000,367.938508
-1531.078624,1000,369.006043
-2926.355619,1000,371.100561
-1193.03553,1000,372.155917
-432.144159,1000,374.283139
-476.02073,1000,375.346918
-2384.815498,1000,377.48841
-786.297548,1000,378.555134
-781.60474,1000,380.689853
-953.565546,1000,381.7568
-2248.726464,1000,383.849973
-1183.593039,1000,384.923856
-1435.241346,1000,387.045491
-297.178136,1000,388.115432
-423.615065,1000,390.223862
-437.020149,1000,391.286296
-1959.455246,1000,393.375583
-112.219444,1000,394.437157
-485.204429,1000,396.526073
-2155.320717,1000,397.591363
-330.33297,1000,399.684502
-1522.746721,1000,400.758312
-1368.653785,1000,402.848483
-254.854779,1000,403.910957
-288.137476,1000,404.974328
-456.96113,1000,407.05209
-195.996347,1000,408.12886
-1240.838673,1000,410.211751
-251.647126,1000,411.275853
-200.085348,1000,413.354345
-756.382312,1000,414.419885
-642.392522,1000,416.511364
-409.758454,1000,417.570511
-523.598246,1000,419.655313
-2246.98207,1000,420.735919
-1079.747591,1000,422.793184
-1946.025146,1000,423.856912
-422.419011,1000,425.921943
-2673.633905,1000,427.008276
-1156.859608,1000,429.148736
-538.044109,1000,430.229964
-1393.059813,1000,432.517517
-491.13833,1000,433.592993
-942.834547,1000,435.841208
-920.55124,1000,436.910519
-761.78364,1000,439.013532
-1271.786421,1000,440.098493
-2683.948817,1000,442.281126
-853.178661,1000,443.365764
-1720.593367,1000,445.492842
-2570.430303,1000,446.567103
-257.44607,1000,448.667089
-2085.577133,1000,449.743551
-387.690368,1000,451.853011
-432.731402,1000,452.913856
-1440.225781,1000,455.052551
-1147.913515,1000,456.138057
-1794.774802,1000,458.253377
-1188.542833,1000,459.32579
-1834.914156,1000,461.497192
-182.384231,1000,462.607645
-735.607018,1000,464.728035
-1989.24724,1000,465.813929
-207.63318,1000,467.95815
-535.802454,1000,469.037524
-1976.23634,1000,471.133473
-2057.515,1000,472.229256
-1936.271074,1000,473.315944
-1411.718111,1000,475.422747
-1288.783179,1000,476.508791
-1908.278724,1000,478.588312
-1179.616922,1000,479.644046
-269.867939,1000,481.715209
-1930.928939,1000,482.777175
-1267.360834,1000,484.879233
-478.303445,1000,485.956421
-464.78577,1000,488.056529
-123.643696,1000,489.110197
-1070.769304,1000,491.185122
-1311.815058,1000,492.251022
-2404.376953,1000,494.471945
-1274.538847,1000,495.557201
-1956.296617,1000,497.685364
-1954.24721,1000,498.765885
-854.882242,1000,500.901617
-144.195693,1000,501.962011
-576.795743,1000,504.081603
-1350.719755,1000,505.143082
-510.353841,1000,507.237503
-535.565433,1000,508.310834
-2216.636341,1000,510.448846
-112.929965,1000,511.502833
-1156.244249,1000,513.591787
-330.639249,1000,514.656297
-2485.946711,1000,516.907108
21.407864,1000,517.966457
-427.557063,1000,520.141032
-644.976391,1000,521.213678
-308.843439,1000,523.323478
-1050.067076,1000,524.445189
-1493.786869,1000,526.570106
