#{"t_start": 1650037898.493268, "env_id": null}
r,l,t
-842.265342,1000,2.947769
-882.456338,1000,4.093387
-710.945269,1000,6.272207
-2429.428843,1000,7.351368
-1065.211842,1000,9.417364
-763.005095,1000,10.546302
-752.088885,1000,12.578604
-953.873462,1000,13.642139
-1579.498702,1000,15.774369
-944.831978,1000,16.847173
-709.095285,1000,18.976738
-1197.315975,1000,20.081017
-1442.917294,1000,22.256273
-1278.903611,1000,23.342781
-2103.980137,1000,25.5208
-1135.330231,1000,26.657843
-646.090919,1000,28.843574
-559.041347,1000,29.982314
-723.607937,1000,32.127803
-1528.627766,1000,33.235728
-1609.445029,1000,35.374358
-1450.055788,1000,36.439509
-2356.313931,1000,38.499768
-674.450064,1000,39.546918
-806.584339,1000,41.636535
-664.52446,1000,42.731106
-895.117485,1000,44.80465
-754.547955,1000,45.872983
-1651.419481,1000,48.011895
-1229.62994,1000,49.112283
-574.872494,1000,51.209048
-2693.679201,1000,52.271378
-783.475324,1000,54.337477
-617.46421,1000,55.451924
-2486.904952,1000,57.679804
-1591.824824,1000,58.765291
-1539.246582,1000,60.851599
-1476.198195,1000,61.934269
-1929.975873,1000,64.031555
-997.733472,1000,65.103279
-1591.743736,1000,67.168306
-2745.974252,1000,68.287542
-1673.751101,1000,69.36901
-2812.667266,1000,71.430718
-2496.159708,1000,72.48753
-2274.614391,1000,74.571007
-876.607254,1000,75.614163
-590.331121,1000,77.694368
-866.651019,1000,78.771908
-1239.60862,1000,80.868125
-957.166989,1000,81.943444
-483.151521,1000,84.033748
-594.55796,1000,85.097622
-1443.111406,1000,87.215412
-1522.701122,1000,88.266032
-558.220506,1000,90.391141
-2338.651914,1000,91.478054
-1680.588896,1000,93.557867
-469.135036,1000,94.649191
-870.273175,1000,96.808712
-476.886073,1000,97.904805
-2061.896044,1000,100.066553
-487.2028,1000,101.132953
-523.547899,1000,103.237396
-657.228579,1000,104.318611
-562.260228,1000,106.447434
-1015.712251,1000,107.528843
-880.299338,1000,109.637618
-540.287429,1000,110.728643
-2653.329842,1000,112.823805
-1199.180123,1000,113.885625
-1869.074566,1000,116.013434
-389.413289,1000,117.074151
-2013.602952,1000,119.191186
-1786.878901,1000,120.264138
-3181.289055,1000,122.403161
-3646.760278,1000,123.477357
-716.051876,1000,125.571463
-1880.293225,1000,126.666146
-1624.524875,1000,128.772913
-1240.575145,1000,129.86417
-891.07823,1000,131.968476
-1085.762294,1000,133.036997
-931.829472,1000,135.144633
-2388.442152,1000,136.199827
-2047.553699,1000,137.270263
-1904.355747,1000,139.41425
-642.875541,1000,140.484448
-825.089443,1000,142.616607
-979.056112,1000,143.709289
-2948.387892,1000,145.848627
-2545.999338,1000,146.914375
-2966.492922,1000,149.013178
-1566.165404,1000,150.12356
-1535.618994,1000,152.257423
-978.902716,1000,153.353919
-900.530037,1000,155.53865
-2885.645856,1000,156.627372
-1187.951786,1000,158.783577
-535.402069,1000,159.857554
-969.576191,1000,162.028113
-598.762505,1000,163.09757
-505.607952,1000,165.180037
-2164.11939,1000,166.265581
-963.074488,1000,168.355742
-2107.880156,1000,169.461328
-1949.629016,1000,171.738529
-455.7412,1000,172.864663
-687.181384,1000,174.948367
-491.34664,1000,176.012658
-2044.805275,1000,178.103955
-1300.305445,1000,179.186028
-488.241809,1000,181.299276
-674.459705,1000,182.361447
-1889.227193,1000,184.449006
-1357.058535,1000,185.530131
-493.590231,1000,187.678263
-1323.308433,1000,188.749329
-2653.953265,1000,190.857924
-708.292009,1000,191.929874
-911.987908,1000,194.024065
-482.823054,1000,195.109525
-1612.190841,1000,197.187984
-568.902003,1000,198.264909
-1400.484937,1000,200.33478
-1373.374674,1000,201.405465
-1333.466411,1000,203.582555
-943.755831,1000,204.662877
-2408.619136,1000,205.75993
-3057.518884,1000,207.892591
-440.671027,1000,208.984375
-588.673491,1000,211.148904
-1331.323385,1000,212.226925
-659.63989,1000,214.380899
-1005.128564,1000,215.460851
-1355.098973,1000,217.604211
-2077.990417,1000,218.693582
-746.274011,1000,220.858453
-1810.69336,1000,221.95014
-3170.410351,1000,224.057832
-712.624763,1000,225.128389
-716.504549,1000,227.195512
-546.977253,1000,228.272013
-585.690447,1000,230.319412
-3133.798811,1000,231.38064
-2075.899512,1000,233.555093
-629.152706,1000,234.656817
-634.948837,1000,236.784772
-302.156666,1000,237.877086
-779.317157,1000,240.007156
-591.974905,1000,241.085397
-1011.419686,1000,243.226268
-411.997384,1000,244.312369
-1410.394968,1000,246.419099
-713.652985,1000,247.511103
-2215.813973,1000,249.609266
-691.829953,1000,250.693476
-868.417086,1000,252.783078
-1924.224673,1000,253.862222
-1165.882584,1000,255.934151
-531.428651,1000,257.067979
-2360.207707,1000,259.208417
-191.158217,1000,260.30852
-1017.402711,1000,262.489548
-1124.489759,1000,263.565094
-428.178313,1000,265.71064
-782.657947,1000,266.784234
-319.528857,1000,268.903876
-840.728418,1000,270.006419
-511.496884,1000,272.121835
-2251.627559,1000,273.192611
-624.270014,1000,274.266589
-695.061557,1000,276.390437
-1225.167288,1000,277.471905
-571.648235,1000,279.605047
-1101.13585,1000,280.707994
-205.02638,1000,282.82153
-823.11079,1000,283.973411
-471.79694,1000,286.072524
-1925.311113,1000,287.15706
-404.671949,1000,289.240804
-1229.974536,1000,290.310915
-431.084006,1000,292.417648
-965.402312,1000,293.50173
-940.885917,1000,295.597993
-2453.323617,1000,296.672194
-967.723216,1000,298.766144
-1176.359144,1000,299.851378
-268.772542,1000,301.9454
-595.663494,1000,303.026922
-516.37894,1000,305.125762
-335.111949,1000,306.201119
-440.680689,1000,308.302781
-1045.412921,1000,309.386585
-1342.991288,1000,311.491162
-1891.89639,1000,312.592916
-1560.018361,1000,314.731931
-245.786649,1000,315.804862
-2962.887731,1000,317.962579
-1673.793413,1000,319.04726
-1779.922649,1000,321.261947
-3203.309984,1000,322.37285
-649.775367,1000,324.540324
-2616.408755,1000,325.618722
-2483.279205,1000,327.724046
-1492.078925,1000,328.817044
-2045.391413,1000,330.938391
-1668.000294,1000,332.019733
-1074.747505,1000,334.167871
-1936.178061,1000,335.333549
-1857.621171,1000,337.465841
-416.613802,1000,338.554883
-958.832694,1000,340.670924
-2739.04148,1000,341.767186
-2837.907934,1000,342.857786
-768.764984,1000,344.99632
-449.631337,1000,346.092048
-484.411298,1000,348.271968
-268.900692,1000,349.355245
-1063.111808,1000,351.465791
-1599.778621,1000,352.537239
-1091.518536,1000,354.644049
-1538.163447,1000,355.709877
-1887.58236,1000,357.784252
-2293.487066,1000,358.854135
-1832.720111,1000,360.97398
-813.487317,1000,362.058957
-2728.720883,1000,364.14664
-2387.248166,1000,365.212043
-1747.142043,1000,367.258278
-145.489579,1000,368.426542
-1503.749133,1000,370.641319
-3479.897558,1000,371.741354
-2177.471584,1000,373.889426
-902.908205,1000,374.970251
-685.577146,1000,377.108457
-2168.263765,1000,378.190928
-1396.141796,1000,380.317632
-930.97209,1000,381.402058
-1166.36089,1000,383.504288
-1969.297101,1000,384.587888
-1353.755919,1000,386.679496
-1470.517804,1000,387.747276
-1407.981717,1000,389.84975
-3849.267718,1000,390.932621
-1129.196631,1000,393.041037
-1680.58785,1000,394.117958
-1620.669026,1000,396.294188
-543.092006,1000,397.379342
-2502.975467,1000,399.47597
-372.175031,1000,400.549774
-2106.04067,1000,402.625535
-2043.856112,1000,403.683053
-433.183684,1000,405.744067
-903.200201,1000,406.799692
-3561.150787,1000,407.870504
-255.812218,1000,409.944211
-2320.479953,1000,411.02744
-2786.273068,1000,413.120218
-3063.443736,1000,414.180429
-1536.987965,1000,416.295007
-1617.158555,1000,417.393297
-2321.875601,1000,419.508881
-1120.824451,1000,420.593137
-491.423294,1000,422.707258
-2377.260721,1000,423.780666
-563.431254,1000,425.92377
-741.804136,1000,427.001241
-1375.801608,1000,429.110497
-789.451172,1000,430.184134
-3481.569236,1000,432.330625
-407.030917,1000,433.409913
-857.451521,1000,435.521971
-2604.259748,1000,436.60399
-239.595482,1000,438.742087
-2968.435781,1000,439.798969
-2520.761024,1000,441.884144
-882.930678,1000,442.982496
-1080.424175,1000,445.096641
-2259.49742,1000,446.179454
-923.162865,1000,448.304853
-911.482166,1000,449.376792
-422.797879,1000,451.492616
-2120.702871,1000,452.568754
-1304.937757,1000,454.676123
-188.922176,1000,455.75712
-786.17195,1000,457.871635
-21.264739,1000,458.918644
-1225.993071,1000,461.014431
-2690.538392,1000,462.101892
-2136.344551,1000,464.230604
-2733.163694,1000,465.302458
-2996.842299,1000,467.403572
-194.414439,1000,468.470697
-200.959668,1000,470.548929
-1584.616212,1000,471.624253
-1889.861544,1000,473.694748
-392.822252,1000,474.777677
-572.236481,1000,475.858508
-505.918658,1000,478.004437
-603.448543,1000,479.10251
-3290.814663,1000,481.22251
-2217.355134,1000,482.304713
-2702.318742,1000,484.397179
-2064.407791,1000,485.46524
-2695.071696,1000,487.570228
-1434.58717,1000,488.676932
-2191.769227,1000,490.770197
-2323.424898,1000,491.824778
-2397.073518,1000,493.888613
-1610.069956,1000,494.976413
-2548.186922,1000,497.04788
-254.523507,1000,498.132585
-1925.326761,1000,500.223866
-964.403597,1000,501.287329
-1851.302621,1000,503.414598
-331.986011,1000,504.497713
-1124.56548,1000,506.623915
-3230.227599,1000,507.686656
-2555.429311,1000,509.809748
-748.573629,1000,510.898236
-1800.431213,1000,513.026939
-1347.383077,1000,514.12946
-982.307398,1000,516.295067
-236.223306,1000,517.380956
-310.747015,1000,519.578237
-782.452897,1000,520.678489
-955.772767,1000,522.788339
-1416.427878,1000,523.883902
