#{"t_start": 1649813475.4544914, "env_id": null}
r,l,t
-842.265342,1000,2.931269
-900.333777,1000,3.962426
-918.333969,1000,6.046718
-1140.197298,1000,7.094597
-1286.269289,1000,9.213697
-771.344608,1000,10.329842
-524.276955,1000,12.388098
-662.613701,1000,13.422295
-766.250697,1000,15.482208
-2081.256949,1000,16.517244
-635.596047,1000,18.578956
-738.499644,1000,19.614951
-1265.305039,1000,21.682667
-2139.450132,1000,22.717013
-923.238188,1000,24.785614
-1180.312859,1000,25.828405
-1584.017923,1000,27.899188
-525.348148,1000,28.93428
-993.252107,1000,30.998438
-753.422018,1000,32.034703
-2362.509679,1000,34.104843
-796.067952,1000,35.139111
-2165.863837,1000,37.356586
-1676.124185,1000,38.389523
-690.4216,1000,40.601748
-761.988808,1000,41.652934
-1696.522028,1000,43.891186
-1946.788489,1000,44.947061
-917.85805,1000,47.053385
-1050.587057,1000,48.089934
-606.721315,1000,50.162049
-590.197446,1000,51.203475
-1728.692103,1000,53.295501
-616.639859,1000,54.359813
-821.72677,1000,56.432531
-2269.705449,1000,57.469818
-564.280475,1000,59.53589
-1174.044185,1000,60.588692
-1239.970452,1000,62.69465
-2838.971156,1000,63.752038
-1688.414746,1000,65.847154
-487.681697,1000,66.891092
-1407.083708,1000,67.934304
-689.164037,1000,70.015489
-383.918422,1000,71.062176
-501.396476,1000,73.174651
-2628.000857,1000,74.230229
-1994.033459,1000,76.301311
-1525.454607,1000,77.337421
-1847.228701,1000,79.396972
-1085.011568,1000,80.438327
-480.52251,1000,82.561017
-848.917442,1000,83.62214
-444.201098,1000,85.696319
-1217.379812,1000,86.736384
-1437.296532,1000,88.887348
-575.637105,1000,89.939118
-612.81437,1000,92.030875
-533.445101,1000,93.08692
-589.156817,1000,95.162132
-595.02201,1000,96.199961
-946.509982,1000,98.256291
-865.334285,1000,99.290917
-318.426154,1000,101.355757
-1209.628324,1000,102.405303
-1252.715779,1000,104.603102
-1209.885002,1000,105.657203
-452.23267,1000,107.808488
-1078.403548,1000,108.866355
-2915.600586,1000,110.976739
-1708.266882,1000,112.035496
-748.229414,1000,114.152905
-737.908164,1000,115.204301
-437.09977,1000,117.296983
-781.24887,1000,118.352027
-2487.780165,1000,120.457309
-558.746012,1000,121.51384
-1037.93573,1000,123.607351
-1932.634031,1000,124.654029
-560.553631,1000,126.734101
-3411.546323,1000,127.786122
-758.842901,1000,129.853358
-481.296853,1000,130.888448
-616.814026,1000,132.943541
-264.387701,1000,133.981858
-1841.600739,1000,135.023885
-222.966768,1000,137.089756
-303.213925,1000,138.122469
-678.547567,1000,140.206723
-677.128385,1000,141.252789
-863.651871,1000,143.337983
-1427.718254,1000,144.384903
-316.260369,1000,146.474584
-960.513459,1000,147.520764
-1205.396776,1000,149.607562
-281.655059,1000,150.657343
-1114.122942,1000,152.744293
-443.799293,1000,153.787453
-785.822154,1000,155.877341
-861.959998,1000,156.934032
-490.406809,1000,159.029205
-575.002572,1000,160.072721
-508.153521,1000,162.145932
-1067.609221,1000,163.188192
-414.628164,1000,165.24376
-987.149036,1000,166.28819
-1288.235479,1000,168.34237
-764.056832,1000,169.378615
-150.172612,1000,171.467123
-752.193761,1000,172.557025
-892.409869,1000,174.634665
-1005.389357,1000,175.680097
-1167.943668,1000,177.79924
-902.271164,1000,178.850492
-757.049294,1000,180.948914
-787.555541,1000,182.176507
-1990.65964,1000,184.303414
-1092.954422,1000,185.3602
-700.712296,1000,187.463849
-638.852353,1000,188.502873
-1184.234012,1000,190.610365
-1583.346899,1000,191.654798
-2646.845222,1000,193.719834
-733.660667,1000,194.766246
-867.13133,1000,196.837361
-299.935612,1000,197.885391
-121.239155,1000,199.964002
-871.920597,1000,201.010488
-1065.715108,1000,202.05813
