#{"t_start": 1650082084.2555964, "env_id": null}
r,l,t
296.689205,1000,2.7291
-3979.575063,1000,7.359955
-1362.948229,1000,11.913602
-1161.298085,1000,16.508274
-1277.196095,1000,21.093719
-898.926643,1000,25.729708
-2441.101964,1000,30.316093
-1469.506592,1000,34.865032
-2054.763182,1000,39.425783
-1828.995833,1000,44.026318
-1202.342203,1000,48.604103
-1543.697142,1000,53.261087
-1155.990792,1000,57.831538
-2100.141624,1000,62.42466
-1091.581278,1000,67.091148
-1215.135999,1000,71.6976
-1167.153288,1000,76.304185
-1182.119178,1000,80.888247
-1055.657745,1000,85.5121
-1710.80275,1000,90.085833
-1182.001097,1000,94.747732
-1033.990715,1000,99.266442
-2575.944862,1000,103.840109
-2005.888469,1000,108.579859
-1079.905503,1000,113.203819
-2468.48819,1000,117.893975
-1624.776317,1000,122.496741
-1446.705487,1000,127.26242
-622.454961,1000,131.901637
-405.227999,1000,136.601669
-387.762332,1000,141.243694
-190.964386,1000,145.783378
-42.329077,1000,150.382164
-204.787165,1000,154.974132
114.815724,1000,159.577439
75.654615,1000,164.205288
-99.473809,1000,168.742877
-296.873769,1000,173.411683
117.440154,1000,178.039126
210.765178,1000,182.676327
13.187385,1000,187.242231
63.11203,1000,191.895894
289.879373,1000,196.528554
378.31269,1000,201.100938
186.754353,1000,205.682892
249.11793,1000,210.423291
272.088726,1000,215.043684
509.314328,1000,219.668627
83.780708,1000,224.422976
26.225669,1000,229.012604
344.950509,1000,233.671966
370.279759,1000,238.289088
367.334262,1000,242.965055
451.449421,1000,247.624322
-96.243141,1000,252.249862
466.03427,1000,256.947709
404.654652,1000,261.539806
218.370088,1000,266.188373
444.846374,1000,270.840218
389.195333,1000,275.632222
257.650135,1000,280.344874
454.269557,1000,284.992068
554.552585,1000,289.589536
577.221829,1000,294.327304
414.381403,1000,298.918669
358.629845,1000,303.601355
520.293814,1000,308.252419
455.569033,1000,312.959681
556.460889,1000,317.610092
531.068681,1000,322.212214
401.094286,1000,326.845823
421.952467,1000,331.497279
361.617067,1000,336.105956
207.529458,1000,340.758488
-113.180315,1000,345.409641
278.35352,1000,350.128537
578.778849,1000,354.756348
277.727901,1000,359.438956
515.084347,1000,364.159871
328.633754,1000,368.85509
177.323114,1000,373.506597
429.538141,1000,378.172418
201.325962,1000,382.779242
418.374104,1000,387.365513
565.302013,1000,391.984056
548.689079,1000,396.643926
493.616486,1000,401.268428
552.4379,1000,405.893296
539.983259,1000,410.511962
331.4194,1000,415.060005
609.858011,1000,419.705295
574.590335,1000,424.310933
488.014919,1000,428.891767
-386.962466,1000,433.545933
446.065614,1000,438.192981
346.427,1000,442.863815
593.865073,1000,447.480684
457.112668,1000,452.09788
556.157606,1000,456.716741
523.666729,1000,461.336136
542.196896,1000,466.05924
174.525268,1000,470.693938
505.312047,1000,475.337576
412.273923,1000,479.997262
-157.279816,1000,484.642131
529.824356,1000,489.296994
226.122148,1000,493.947154
129.690684,1000,498.771893
531.579265,1000,503.372341
