#{"t_start": 1650110102.9919622, "env_id": null}
r,l,t
156.660054,1000,2.688489
-1116.624114,1000,7.283444
-871.0529,1000,11.851966
-867.341044,1000,16.386474
-1191.953771,1000,20.952124
-1327.924701,1000,25.606978
-1161.907171,1000,30.144985
-1310.672693,1000,34.683192
-1321.743793,1000,39.376693
-1639.606219,1000,43.908021
-1115.569278,1000,48.525853
-1057.828769,1000,53.146236
-1505.273947,1000,57.776323
-1195.093177,1000,62.451903
-1058.548271,1000,66.977319
-1253.197355,1000,71.554333
-1075.303966,1000,76.234463
-1316.634618,1000,80.892237
-1214.273488,1000,85.45964
-1156.237906,1000,90.04618
-1345.594779,1000,94.666234
-1150.647356,1000,99.274735
-1192.133444,1000,103.870391
-1352.395823,1000,108.414882
-1127.396779,1000,112.978637
-1097.966571,1000,117.583637
-1801.582901,1000,122.262188
-1156.241344,1000,126.924217
-1202.442031,1000,131.81918
-1146.875803,1000,136.509799
-2616.929196,1000,141.081266
-2025.32601,1000,145.71163
-1309.65577,1000,150.453041
-1276.392886,1000,155.02751
-1211.365832,1000,159.615533
-1200.147624,1000,164.196028
-1344.687997,1000,168.798126
-1128.273347,1000,173.528496
-1126.518215,1000,178.170703
-1110.441949,1000,182.844078
-1286.048052,1000,187.423289
-1100.271682,1000,192.015498
-1330.748069,1000,196.619559
-1232.721687,1000,201.286165
-1885.231463,1000,205.916532
-1228.587096,1000,210.670578
-1240.561618,1000,215.306636
-1125.537374,1000,219.945001
-1160.102009,1000,224.59293
-1222.090503,1000,229.186621
-1291.612885,1000,233.812325
-1319.846934,1000,238.474899
-1060.45711,1000,243.002183
-1075.288536,1000,247.62237
-1355.716161,1000,252.263813
-1178.677701,1000,256.899488
-1133.941401,1000,261.686753
-1519.20417,1000,266.327625
-1256.247899,1000,270.962931
-2247.839606,1000,275.611501
-4089.642733,1000,280.261318
-1202.949315,1000,284.983846
-1191.625257,1000,289.644664
-1137.732639,1000,294.135844
-1390.844347,1000,298.90281
-1515.847895,1000,303.509588
-1174.79438,1000,308.094302
-1289.394981,1000,312.678254
-1497.284069,1000,317.256166
-1050.010399,1000,321.919361
-1236.459593,1000,326.860668
-1150.455124,1000,331.712672
-1179.574628,1000,336.348518
-1149.037621,1000,340.989458
-1176.919204,1000,345.598338
