#{"t_start": 1649930475.5824623, "env_id": null}
r,l,t
389.33581,1000,2.663588
-1103.496927,1000,7.196642
-1091.110154,1000,11.756022
-2249.848648,1000,16.365382
-1148.653671,1000,20.906051
-576.087708,1000,25.592563
-1038.089471,1000,30.116108
284.149994,1000,34.672202
533.27778,1000,39.329477
297.272146,1000,43.827132
376.150122,1000,48.421306
-1514.760937,1000,53.064119
-28.752784,1000,57.625747
604.329236,1000,62.152129
555.501083,1000,66.71186
288.728287,1000,71.282449
585.685472,1000,75.826988
716.594712,1000,80.365795
666.987285,1000,84.939212
-1109.536826,1000,89.483747
759.30859,1000,94.093795
562.928566,1000,98.659667
279.099108,1000,103.32011
493.744084,1000,107.878205
244.858138,1000,112.40485
-331.457439,1000,116.968049
356.634499,1000,121.568132
-1021.365717,1000,126.111204
-80.040267,1000,130.696088
-805.895041,1000,135.232622
-1983.79987,1000,139.761814
-114.327773,1000,144.374727
-245.347907,1000,148.913015
319.017554,1000,153.506261
-496.447923,1000,158.081077
413.550957,1000,162.659226
266.517924,1000,167.30838
119.557198,1000,171.93469
350.452214,1000,176.479456
202.87564,1000,181.065943
-157.152585,1000,185.663307
-487.560919,1000,190.251477
-695.484899,1000,194.786212
-434.361991,1000,199.371691
-317.968445,1000,203.933069
-1459.565023,1000,208.530237
133.943605,1000,213.104391
302.036802,1000,217.624015
268.657175,1000,222.141446
504.733793,1000,226.708621
379.372525,1000,231.274014
759.09483,1000,235.857875
710.412794,1000,240.429332
596.934178,1000,244.917446
93.598225,1000,249.449226
232.217248,1000,254.046529
291.052674,1000,258.546448
-596.279726,1000,263.120178
-1758.086445,1000,267.695108
194.420469,1000,272.304758
293.829531,1000,276.885934
482.031214,1000,281.470158
541.143148,1000,286.117458
542.117823,1000,290.573514
-81.867659,1000,295.093195
651.550786,1000,299.642188
656.876625,1000,304.222121
603.616013,1000,308.74425
614.038109,1000,313.249046
715.311091,1000,317.916599
608.172313,1000,322.520902
19.895423,1000,327.143457
379.0769,1000,331.72997
565.041262,1000,336.354041
315.112981,1000,340.938461
380.157728,1000,345.510226
358.60312,1000,350.124774
-703.362951,1000,354.654902
515.129266,1000,359.162691
637.080682,1000,363.900916
594.741485,1000,368.498175
162.434708,1000,373.016729
-151.406736,1000,377.519846
751.46739,1000,382.037818
481.351987,1000,386.59185
834.817057,1000,391.163062
720.784556,1000,395.691308
681.435633,1000,400.471079
729.065974,1000,405.031509
709.565811,1000,409.644074
732.445661,1000,414.334623
648.939743,1000,418.896566
770.994731,1000,423.474159
702.410241,1000,428.010562
817.939496,1000,432.589706
851.035226,1000,437.185091
839.719646,1000,441.705241
820.460687,1000,446.245891
784.887257,1000,450.829294
831.009655,1000,455.364066
752.322956,1000,460.018745
